	F0380	H0617	H0613	H0618	H0846	M0828	M0829	H0757	J0060	H0577	H0571	J0036	H0661	H0664	H0915	H0914	H0668	H0851	F0371	H0587	J0078	J0076	J0074	H0742	H0866	J0058	F0445	J0042	J0040	H0775	H0849	J0020	H0790	H0793	H0796	J0126	J0024	J0054	J0056	H0762	H0647	J0072	H0768	H0781	H0681	H0785	H0886	H0659	J0022	H0800	H0716	H0656	H0896	H0700	H0812	H0705	J0038	H0709	M0853	M0852	J0128	M0855	M0854	J0124	H0624	H0627	H0667	H0622	H0682	H0680	H0684	H0523	H0689	H0823	M0839	H0736	H0735	J0003	J0001	M0848	H0638	M0845	M0846	M0847	M0840	M0841	M0842	M0843	H0694	H0693	M0833	J0018	H0838	H0930	M0834	J0090	J0092	J0094	M0831	M0830	H0601	J0109	M0835	J0005	M0837	M0836
M0854	1.020190604	1.36780833	0.960575666	1.16247889	1.183430402	1.057309214	1.26864167	1.106671596	1.248259342	1.10774569	1.508204642	1.186074116	1.07799677	1.21619472	1.477173022	1.59911579	1.208817156	0.99875935	1.027468092	1.25504353	1.391594064	1.453478714	1.451768658	1.009930826	1.304490734	1.381766158	1.00550298	1.328415328	1.068655822	1.02167206	1.590720292	1.530334954	1.095478022	0.925804218	0.93518876	1.256065976	1.223706432	1.002752956	1.371382046	1.031800378	1.29294687	1.008717802	1.046461152	0.922174982	1.267503938	1.00122153	1.491653734	1.112075708	1.386735602	0.972605348	1.305924714	1.256045694	1.236406332	1.32252761	1.040510774	1.167637754	1.441707392	1.294788916	0.637703666	0.733382398	1.24964231	0.859072272	0.0	0.933031922	1.07308685	1.093546882	1.24034757	1.116990346	1.253395284	1.268707912	1.223259782	1.148721606	1.188618108	1.067834238	1.127169706	1.131900248	1.096408678	1.091715042	1.11547529	1.244572598	1.295529696	0.968066842	0.977454186	0.992347962	0.978126074	1.006310222	1.49014562	0.955670028	1.339297516	1.213225572	0.90523073	1.103233728	1.658303626	1.123043158	1.12626917	0.9985932	1.464349612	1.195121986	1.049580504	1.08192525	1.302575268	1.25596277	1.058008888	1.461157056	0.9271395	1.031112578
J0124	0.934911678	1.247095008	0.831883404	0.735294824	0.909119592	0.78870974	0.843021912	0.760653026	0.791247584	0.737251392	1.394350024	0.82948489	0.798058492	0.920355142	1.160549432	1.282561216	0.780588454	0.640329756	0.831281902	0.94106742	1.165665906	1.137120864	1.329338492	0.491033976	1.035780588	0.997330356	0.814274042	1.118995182	0.648733444	0.826792262	1.265520802	1.276224904	0.8883334	0.67752274	0.700788434	0.895503486	0.875383006	0.384774642	1.16326688	0.691507152	0.899919276	0.439795212	0.750643926	0.611313596	0.813195892	0.627453344	1.193319168	0.826444214	1.173171648	0.59408115	0.779025628	1.055332952	0.928160498	0.816727564	0.724307104	0.874257124	1.23692357	1.011581122	0.816133772	0.82336266	0.86604036	0.562626934	0.933031922	0.0	0.77853998	0.706799568	1.027493916	0.621864528	0.894078638	1.02629511	1.137759332	0.902480924	0.842035498	0.731186564	0.884337724	1.087656506	0.81080194	0.945736876	1.082476712	0.911920672	1.189150914	1.124612968	1.068104848	1.12583678	0.718985464	0.79844474	1.342314458	0.624235922	1.16599959	0.877647758	0.482879684	0.93512731	1.329311608	0.557560112	0.880055392	0.535033054	1.25242057	0.809243188	0.77502433	0.845442388	0.950674802	1.0202426	0.786228662	1.25496451	0.81853249	0.921672732
H0624	1.210840098	1.54709334	0.77221094	0.994766872	1.21561576	1.103406952	1.123360348	1.085855062	0.857005544	1.219148772	1.542175488	1.207043054	1.081087048	1.305080702	1.378995548	1.5097288	1.235522554	1.006203632	1.061929614	1.2514633	1.520355618	1.388779664	1.519071732	0.82283654	1.016036428	1.081164268	1.197422206	1.289249058	0.903830396	1.008056922	1.537867634	1.474236232	1.116816612	0.962168592	0.903063962	1.349912266	0.842422938	0.843256298	1.301706028	1.035712836	0.986942524	0.857939832	1.048151354	0.971695172	1.264714424	0.896894528	1.249002968	1.207362918	1.538093504	0.96339303	1.138319988	1.219380804	1.326409562	0.727884216	1.024433164	1.026083872	1.413501954	1.350683654	1.216436108	1.184027764	0.977034176	0.905649186	1.07308685	0.77853998	0.0	1.042661284	1.37825364	1.017304624	1.365899482	1.28739171	1.345900312	1.18154502	1.18166361	1.108187924	1.180126776	1.250524366	1.157651992	1.259927628	1.253822968	1.395269536	1.507809354	1.422152284	1.32879404	1.336892	1.045455344	1.026588244	1.432269218	0.91269155	1.409551814	1.18524585	0.867324664	1.287936854	1.574684008	0.88338592	1.128805948	0.765706398	1.419401198	1.009244112	1.16597963	1.304512484	1.402324426	1.464473272	1.125353382	1.560830194	1.157717742	1.244002496
H0627	1.13001935	1.4820113	1.035182896	0.805944324	0.894394712	1.136886232	1.098714204	0.983238686	1.083982896	0.769022604	1.52967256	0.934723758	0.53833674	0.940835962	1.075557748	1.131142636	0.862124626	0.73873758	1.033911502	0.842687288	1.267934506	1.26639642	1.106323096	0.795024852	1.135703724	0.985893064	0.95467655	1.364622994	0.865829056	1.000161706	1.172306598	1.125466808	1.00574526	0.999150776	1.016065198	0.794712978	1.058660166	0.729435682	0.937028208	0.964754732	0.792452464	0.813208972	0.969999898	0.941159332	0.915607752	0.80170016	0.95981298	1.044348982	1.056217628	0.974824834	0.877793884	1.051196924	0.75334455	0.855566752	0.950984564	1.15239202	1.227357766	1.072712406	1.06048714	1.07560604	1.045282704	0.972459334	1.093546882	0.706799568	1.042661284	0.0	0.986185928	0.858081516	0.853097174	1.087614694	1.186787932	0.892986324	0.83535615	1.0011678	1.050682244	1.025791002	0.635110068	1.033069196	1.140568708	0.882291008	1.37096559	1.233499372	1.23361614	1.274231584	1.05027374	1.223876104	1.41459755	0.839061438	1.225998086	0.888280258	0.844054956	1.041932882	1.161072376	0.81550728	1.249147448	0.97766551	1.073196834	1.0225882	1.030321826	0.833701888	1.105038066	0.807301332	1.180676486	0.982366806	1.212716266	1.275810184
H0667	1.392673926	1.218634432	1.259909792	1.036863336	1.19759018	0.932410656	1.12014774	0.907006878	1.359098696	0.974087192	1.108360312	1.202431966	0.883924408	0.755392818	1.398962316	1.282433164	0.898830642	0.938697324	1.408510666	0.77735596	1.267175038	1.096020452	1.160692384	1.123747576	1.180154028	1.344636444	1.22301135	1.078707486	1.088493396	1.220023834	1.385655266	0.890094472	1.217131528	1.04709054	1.295465178	0.729298386	1.40001185	0.971036654	0.863589756	1.050592972	1.033117544	1.113965708	1.10111685	1.064077988	0.794829604	1.031719936	1.167296924	0.862292162	1.218007396	1.23539845	0.949564984	0.819027324	0.987437506	1.173038624	1.153398304	1.429302864	0.831869466	0.805360746	1.20479002	1.161347688	1.159217964	1.192106654	1.24034757	1.027493916	1.37825364	0.986185928	0.0	1.00931862	0.718700642	0.566160146	0.934706552	0.578185688	0.720956134	0.874595936	0.732045648	0.712593674	0.939680732	1.07562682	1.432396956	0.930357092	1.092752998	1.222052184	1.287170872	1.331589068	1.087456732	1.4901653	1.158539894	0.914292166	0.996800754	0.663520618	1.141340476	1.228994958	1.404002284	1.07235202	1.4093548	1.14327743	0.996982106	1.187969676	1.157814546	0.858045356	0.890776666	0.86725258	1.402356322	0.96803789	1.383352314	1.442149936
H0622	0.927415902	1.089471924	1.031873544	0.663640996	1.080026608	0.882626348	1.064304216	0.780585794	0.97205882	0.4609703	1.407717364	0.95408113	0.8481067	0.932929746	1.16365838	1.251465408	0.766737042	0.683114712	1.087825182	0.992520388	1.275466918	1.2249825	1.22009854	0.710845612	1.081069924	1.199401636	0.918404338	1.267107026	0.948975212	1.034287322	1.227278926	1.254720428	1.04140844	0.79589692	0.934414158	0.920570466	1.14896207	0.781785746	1.08591488	0.704232072	0.9407249	0.837448748	0.822765022	0.750584964	0.765667396	0.77137258	1.19808104	0.799962946	1.1434295	0.705143886	0.779549224	1.134431892	0.869425222	1.06269166	0.8531227	1.066413412	1.234153898	1.058610794	0.89981318	0.762819672	0.956923816	0.676411642	1.116990346	0.621864528	1.017304624	0.858081516	1.00931862	0.0	0.851282194	1.110696694	1.216937188	0.967987824	0.913884366	0.789519488	1.033795492	1.159755954	0.878781692	1.113467576	1.260762764	0.88192676	1.271552066	1.187814624	1.18036082	1.199245976	0.680871152	0.973868588	1.344383446	0.778921738	1.23044469	0.938592578	0.845432636	0.994403946	1.300214876	0.666465856	0.83594214	0.964893418	1.129976874	0.979918576	0.667238498	0.860134408	0.943328046	1.029699348	0.798703594	1.194160014	0.788227994	0.82894416
H0682	1.205773972	1.140947994	1.23379837	1.072034838	1.092943598	0.84104401	1.10509725	0.742248572	1.237075066	0.694013746	1.305043746	1.205352068	0.670301586	0.732473296	1.30815173	1.23183091	0.754641964	0.85319269	1.368002056	0.875763402	1.285659304	1.179565482	1.179249002	0.894009082	1.19101845	1.27012915	1.168694504	1.238980624	1.014928334	1.17700708	1.337355296	0.967917662	1.035186658	0.886340118	1.182373508	0.617624304	1.328727168	1.015296612	0.859487742	0.83889203	1.014146682	1.077895962	0.859442524	0.887277806	0.675197246	0.876100322	1.072773778	0.712426688	1.090460474	1.009551896	0.899398014	0.957553686	0.840407288	1.13244677	0.952594534	1.385387062	0.988375404	0.875880888	1.032365802	0.980328574	1.195177646	0.965858668	1.253395284	0.894078638	1.365899482	0.853097174	0.718700642	0.851282194	0.0	0.757066388	1.059317898	0.688401034	0.719244032	0.733522242	0.893954114	0.863592844	0.724523934	1.10159465	1.487718434	0.730637642	1.167802944	1.306106846	1.288614978	1.365384502	0.904479546	1.27989707	1.300668804	0.845213496	1.18019262	0.7981457	1.065350886	1.273753612	1.343737514	1.05249597	1.171340798	1.16637914	1.057098044	1.18492149	0.908298796	0.851042466	0.827273892	0.810917298	1.139516904	0.855039164	1.126749352	1.167518002
H0680	1.389516376	0.99441773	1.252452342	1.192431422	1.285545102	0.773961522	1.033714386	0.812418124	1.292559862	1.099268514	0.95118913	1.316684432	0.865959134	0.873555944	1.49771635	1.426109654	0.931465104	1.10054053	1.326038724	0.800434502	1.38715024	1.175560842	1.470044046	1.068427734	1.15674925	1.40238439	1.350472964	0.89936644	1.012077114	1.218240552	1.541035848	0.923962594	1.135041122	0.970848386	1.200203844	0.940730664	1.388392252	1.180890048	1.047324938	0.969933142	1.20195433	1.175665062	0.998825596	0.988073482	0.847220018	1.030189614	1.318911194	0.666238612	1.522681998	1.114956564	0.987047534	0.728234566	1.178454892	1.18788331	1.076067398	1.37411317	0.769716068	0.612642672	1.211610118	1.115326654	1.28194699	1.060334512	1.268707912	1.02629511	1.28739171	1.087614694	0.566160146	1.110696694	0.757066388	0.0	0.83638273	0.60679861	0.63045504	0.814347826	0.80549123	0.75272226	0.936646814	1.16074473	1.55660269	1.101503542	0.866079364	1.360364174	1.270322438	1.345866334	1.060208874	1.377028786	0.94601922	0.906983148	0.88531536	0.6036089	1.129695994	1.393553348	1.555343618	1.157304394	1.278499618	1.140107824	1.285352936	1.229244758	1.063501548	1.173129006	0.691249784	1.156211306	1.25632768	1.243197384	1.276199172	1.323266198
H0684	1.433372466	1.05744122	1.236581312	1.312781904	1.39692242	0.890235092	1.029724732	0.965216422	1.376909028	1.15493104	0.817011612	1.42770291	0.9229755	1.234561978	1.581385004	1.530412348	1.194176386	1.186030968	1.306609558	0.842885776	1.445975894	1.223822944	1.571116356	1.195079816	1.213838372	1.500865516	1.368853118	0.934001142	1.03782182	1.274989738	1.640270722	1.075813656	1.337939232	1.032481124	1.266022426	1.088772498	1.404207042	1.189920674	1.225562064	1.114889628	1.246760152	1.241594688	1.149391126	1.094221176	1.036151632	1.12268346	1.419168636	0.862122454	1.592877248	1.188587722	1.182441796	0.574936612	1.18796159	1.295949088	1.224849132	1.367464628	0.890093934	0.82705821	1.261712308	1.1867667	1.336295488	1.15031597	1.223259782	1.137759332	1.345900312	1.186787932	0.934706552	1.216937188	1.059317898	0.83638273	0.0	0.961236764	0.824031926	0.980106772	0.977496108	0.564135058	1.078499432	1.210527712	1.496512948	1.294952244	0.741335734	1.4043903	1.333076404	1.314335708	1.110814284	1.382784352	0.772898178	0.994137322	0.419877778	0.80448021	1.137805448	1.42342021	1.668411972	1.259186948	1.347724904	1.187303174	1.39207331	1.290276768	1.138202818	1.2196083	0.862712082	1.26183004	1.331879034	1.272776682	1.325834538	1.395336156
H0523	1.173538994	1.27128166	1.032419372	1.007981624	1.091828068	0.839700592	1.00734736	0.84756705	1.243864916	0.92438468	1.191439896	1.09513003	0.769457032	0.656462714	1.319690992	1.285010452	0.76701199	0.915652808	1.21808075	0.751475868	1.197115922	1.05691196	1.283344492	0.986475208	1.032908992	1.154082032	1.086582102	0.995557206	0.930876516	1.046670238	1.385826018	0.942978904	1.113096012	0.941645204	1.044198898	0.829716222	1.171180506	0.848654642	0.911821484	0.983923588	0.91994026	0.886897864	0.999328366	0.940611904	0.801710356	0.906031572	1.138211952	0.800080302	1.328709468	1.048629318	0.862497688	0.779868456	0.953154338	1.00896184	1.008835948	1.264508916	0.933274778	0.816486226	1.087729004	1.079860052	1.045187548	1.021789502	1.148721606	0.902480924	1.18154502	0.892986324	0.578185688	0.967987824	0.688401034	0.60679861	0.961236764	0.0	0.657158318	0.825715072	0.682469336	0.798697406	0.798369436	0.948571988	1.2716573	0.952697012	1.149471926	1.324756816	1.265656984	1.27503118	0.93744858	1.33531456	1.11745795	0.785690514	1.004953174	0.662738766	0.983354308	1.134604462	1.40913722	0.974600148	1.23112448	0.988195494	1.105480214	1.0283431	1.056554078	0.947968756	0.863009006	1.002187464	1.233568234	1.044108134	1.291202638	1.371143896
